,Links,Company,Job Title,Rating,Date Posted ago
36,https://in.indeed.com/rc/clk?jk=4d1da98fa281f4b0&fccid=3bcf7eb192e678e4&vjs=3,General Mills,Analyst - Demand Analytics,3.9,13
37,https://in.indeed.com/rc/clk?jk=8bcdc81e40df0949&fccid=5bcd1ef0a7f4fb99&vjs=3,Citi,Client Onboarding Analyst,3.9,1
38,https://in.indeed.com/rc/clk?jk=276e8768634cfce1&fccid=74720b6d3b89dc9f&vjs=3,altbalaji,Data Analyst,0,  30+  
39,https://in.indeed.com/rc/clk?jk=a9e70cb0d1e0cd4b&fccid=5bcd1ef0a7f4fb99&vjs=3,Citi,P&R _Sanctions Ops Analyst,3.9,1
40,https://in.indeed.com/company/Pilgrim/jobs/Product-Analyst-c07a182c62c5c30d?fccid=be1aa36840f448c9&vjs=3,Pilgrim,Product Analyst - Tech,0,3
41,https://in.indeed.com/rc/clk?jk=a150caf50fc04ec7&fccid=c1340f0b335b9dd7&vjs=3,IDFC FIRST Bank,Senior Data Analyst - Cx,3.7,  30+  
42,https://in.indeed.com/rc/clk?jk=6aa5ab9a661361cc&fccid=52e873f4c5592e60&vjs=3,Ubiquiti Inc.,MIS & Data Analyst,0,  30+  
43,https://in.indeed.com/rc/clk?jk=fe8254692f5f35d8&fccid=44ad200e718a6d2e&vjs=3,"JPMorgan Chase Bank, N.A.",CIB_GRC_Economic Research Data Analyst,4.1,2
44,https://in.indeed.com/company/Magpie-Global/jobs/Research-Analyst-cdf76fdc530f4b0b?fccid=e1d018df6584e95c&vjs=3,Magpie Global Ltd,Research Analyst,0,1
45,https://in.indeed.com/rc/clk?jk=9507c208aba0e506&fccid=a4e4e2eaf26690c9&vjs=3,Accenture,Analytics Analyst - Marketing and Customer Analytics,4,7
46,https://in.indeed.com/rc/clk?jk=4a76a9158f980a04&fccid=683f563b5cc25b70&vjs=3,Nielsen,Analyst,3.8,14
47,https://in.indeed.com/rc/clk?jk=32fbd1a4cc11ab99&fccid=44ad200e718a6d2e&vjs=3,"JPMorgan Chase Bank, N.A.",Clearinghouse Risk Analyst,4.1,15
48,https://in.indeed.com/rc/clk?jk=4df9dd3b1596f07e&fccid=f1d8e147024abb3f&vjs=3,Deutsche Bank,Business Management Analyst - Client Analytics,3.8,21
49,https://in.indeed.com/rc/clk?jk=2a0f741e916ee8a6&fccid=0ab42c4503235145&vjs=3,Advanced Sterilization Products,Master Data Analyst-IN,0,2
50,https://in.indeed.com/rc/clk?jk=c51a32ffc9aae23f&fccid=a4e4e2eaf26690c9&vjs=3,Accenture,Supply Chain Operations Analyst-Supply chain planning,4,24
51,https://in.indeed.com/rc/clk?jk=2005afcd5cfb9522&fccid=15cda31bad4394a7&vjs=3,CRISIL,"Research Analyst- Sugar, Dairy and alcoholic beverages",3.8,3
52,https://in.indeed.com/rc/clk?jk=2a5251ef5a9d8148&fccid=c1340f0b335b9dd7&vjs=3,IDFC FIRST Bank,Business Finance Analyst,3.7,6
53,https://in.indeed.com/rc/clk?jk=5d9011b131239ed9&fccid=f1d8e147024abb3f&vjs=3,Deutsche Bank,Risk Methodology Analyst,3.8,  30+  
54,https://in.indeed.com/rc/clk?jk=325bb77dc04d0844&fccid=9a2def08bc949973&vjs=3,ODeX,Business Analyst,0,29
55,https://in.indeed.com/rc/clk?jk=3560d2c15b688dc8&fccid=b716e44d2c6283e7&vjs=3,S&P Global,Senior Data Research Analyst,3.9,5
56,https://in.indeed.com/company/Messe-Global-Pune-Laxmi-Lawns/jobs/Equity-Analyst-cb3d622506178f09?fccid=831d5c33d0fab439&vjs=3,Exhicon Group,Equity Research Analyst,0,2
57,https://in.indeed.com/rc/clk?jk=a4ff4e77fd340b16&fccid=3c6c62c1f9964388&vjs=3,Black & Veatch,Analyst Consulting (PVsyst),3.8,  30+  
58,https://in.indeed.com/rc/clk?jk=4bde273066e5bc44&fccid=5bcd1ef0a7f4fb99&vjs=3,Citi,Business Intelligence & Data Analyst Developer,3.9,28
59,https://in.indeed.com/rc/clk?jk=46c50a834d388882&fccid=a4e4e2eaf26690c9&vjs=3,Accenture,Data Analysis & Interpretation Application Lead,4,1
60,https://in.indeed.com/rc/clk?jk=2f7382b0006b8eb3&fccid=a4e4e2eaf26690c9&vjs=3,Accenture,Data Science Senior Analyst,4,  30+  
61,https://in.indeed.com/rc/clk?jk=28fd141b864d1b34&fccid=44ad200e718a6d2e&vjs=3,"JPMorgan Chase Bank, N.A.",CIB Business Support Management - Analyst - Invoice,4.1,14
62,https://in.indeed.com/rc/clk?jk=c199b7ee52aae73a&fccid=b3daac165868e0fb&vjs=3,The Edge Asia,Data Visualization,0,9
63,https://in.indeed.com/rc/clk?jk=a28b577c5774ab33&fccid=3bcf7eb192e678e4&vjs=3,General Mills,"Business Intelligence Analyst, - Data Insights & Visualization",3.9,23
64,https://in.indeed.com/rc/clk?jk=dfa62381fd8053bf&fccid=5bcd1ef0a7f4fb99&vjs=3,Citi,Risk Model Development Analyst II- C10,3.9,3
65,https://in.indeed.com/rc/clk?jk=33abdee35c8d20d7&fccid=1c76c3a36f6c7557&vjs=3,UBS,Business Support Analyst,3.8,  30+  
66,https://in.indeed.com/rc/clk?jk=ed578e1ba34ddc7b&fccid=f2f087e2c0d66903&vjs=3,Cover Genius,Data Analytics Engineer - DBT / DW Modeling,0,7
67,https://in.indeed.com/rc/clk?jk=4caec6fcfd06b834&fccid=44ad200e718a6d2e&vjs=3,"JPMorgan Chase Bank, N.A.",JPM_CIB_GRC_Equity_Research_Analyst,4.1,15
68,https://in.indeed.com/rc/clk?jk=dc31ef4dfe5cc3a1&fccid=531af5efc7c07cf1&vjs=3,LogisticsNow,Passionate Data Analyst,2.3,  30+  
69,https://in.indeed.com/rc/clk?jk=f81e5b476057d936&fccid=c79269e8c5a81f1e&vjs=3,Ares Management,Data Analyst,0,22
70,https://in.indeed.com/company/Ascendeum/jobs/Business-Analyst-1e50ab3b9ac807e8?fccid=550bb0deaf6f9c61&vjs=3,Ascendeum,Assistant Business Analyst,0,1
71,https://in.indeed.com/rc/clk?jk=34660fc088a1c4e0&fccid=d9162e48c444e6e3&vjs=3,Colgate-Palmolive,Global Data Management - Associate Analyst,4.3,  30+  
72,https://in.indeed.com/rc/clk?jk=b77122b039a94dfe&fccid=66530c16c7ccb793&vjs=3,GXO Logistics,"Analyst, Data",0,  30+  
73,https://in.indeed.com/company/INTINERI-INFOSOL/jobs/Business-Analyst-44e56c8691c49438?fccid=8a8db989df87f2df&vjs=3,INTINERI INFOSOL,Business Analyst,0,3
74,https://in.indeed.com/company/Consist-solution-pvt.-Ltd/jobs/Business-Analyst-ed7c47bf773349bc?fccid=8d17f337c58b8d36&vjs=3,Consist solution pvt. Ltd,Business Analyst,0,3
75,https://in.indeed.com/rc/clk?jk=d696009d45142d0b&fccid=44ad200e718a6d2e&vjs=3,"JPMorgan Chase Bank, N.A.",Risk Business Management Analyst,4.1,12
76,https://in.indeed.com/rc/clk?jk=dd350b6f5708814b&fccid=382b1ba008d5d14a&vjs=3,Decimal Point Analytics,ESG Data Analyst,4,20
77,https://in.indeed.com/rc/clk?jk=7e91dbc18085f6f9&fccid=58c732f14833248a&vjs=3,BlackRock,Analyst Python Developer,3.8,27
78,https://in.indeed.com/rc/clk?jk=867f8996808ff6d7&fccid=23118b488b8ca83c&vjs=3,talent-O-scope,Data Analytics,0,  30+  
79,https://in.indeed.com/rc/clk?jk=8748e958ed2085e7&fccid=a4e4e2eaf26690c9&vjs=3,Accenture,Finance Business Management Analyst,4,  30+  
80,https://in.indeed.com/company/SnD-Confrere/jobs/Research-Analyst-f2b0a0363d7a65d4?fccid=a1eca5229962ca80&vjs=3,SnD Confrere,Research Analyst (WFH/Remote),0,5
81,https://in.indeed.com/rc/clk?jk=d5b0f83528fbc7f0&fccid=63ce320937171b5d&vjs=3,Skillventory,Credit & Data Analytics,4.4,  30+  
82,https://in.indeed.com/rc/clk?jk=507422c0c0b3c8c4&fccid=f1d8e147024abb3f&vjs=3,Deutsche Bank,Risk Analyst,3.8,17
