,Links,Title,Details,Price,Ratings
20,https://www.airbnb.co.in/rooms/48519312?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579145_bgKIrdQXQYKlb4uX&previous_page_section_name=1000&federated_search_id=ccc7caec-052e-4fa7-8d7b-5cb9fa5b45ec,Shared room in Mumbai,1 single bed,₹936 per night,5.0 (3)
21,https://www.airbnb.co.in/rooms/684710792696800326?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579145_iEaHTTU5NmxIXSGW&previous_page_section_name=1000&federated_search_id=ccc7caec-052e-4fa7-8d7b-5cb9fa5b45ec,Cottage in Neral,4 beds,"₹1,077 per night",4.71 (7)
22,https://www.airbnb.co.in/rooms/761843801163312248?category_tag=Tag%3A8678&enable_m3_private_room=true&check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579145_EnarQjb%2FbkKOOYH5&previous_page_section_name=1000&federated_search_id=ccc7caec-052e-4fa7-8d7b-5cb9fa5b45ec,Room in Velhe,Stay with Ishwari,"₹2,164 per night, originally ₹3,457",5.0 (10)
23,https://www.airbnb.co.in/rooms/926486203520992640?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579145_3OMVMUkDgPRvtYIo&previous_page_section_name=1000&federated_search_id=ccc7caec-052e-4fa7-8d7b-5cb9fa5b45ec,Home in Maldunge,1 bed,"₹2,739 per night, originally ₹3,339",New
24,https://www.airbnb.co.in/rooms/52230179?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579145_8YplEKxkGHB4qeZI&previous_page_section_name=1000&federated_search_id=ccc7caec-052e-4fa7-8d7b-5cb9fa5b45ec,Cottage in Shivane,1 king bed,"₹4,565 per night",4.31 (16)
25,https://www.airbnb.co.in/rooms/41658357?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579145_qhpssNbsRuGnl%2Fdg&previous_page_section_name=1000&federated_search_id=ccc7caec-052e-4fa7-8d7b-5cb9fa5b45ec,Flat in Mumbai,1 queen bed,"₹3,993 per night",4.64 (88)
26,https://www.airbnb.co.in/rooms/669305550735724654?category_tag=Tag%3A8678&enable_m3_private_room=true&check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579145_7XczvCQDBgpDTBAj&previous_page_section_name=1000&federated_search_id=ccc7caec-052e-4fa7-8d7b-5cb9fa5b45ec,Room in Mumbai,Stay with Dhruv,", ",4.86 (37)
27,https://www.airbnb.co.in/rooms/42288681?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579145_H8d6mwjQiEHv4Dz2&previous_page_section_name=1000&federated_search_id=ccc7caec-052e-4fa7-8d7b-5cb9fa5b45ec,Flat in Mumbai,1 king bed,"₹3,652 per night, originally ₹4,439",4.81 (69)
28,https://www.airbnb.co.in/rooms/698914839401359994?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579145_O%2Fn9Qu9hINWA9TrA&previous_page_section_name=1000&federated_search_id=ccc7caec-052e-4fa7-8d7b-5cb9fa5b45ec,Place to stay in Mumbai,1 bed,"₹2,283 per night",5.0 (4)
29,https://www.airbnb.co.in/rooms/838125814506335286?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579145_ysFDrTpBbXpIbBlC&previous_page_section_name=1000&federated_search_id=ccc7caec-052e-4fa7-8d7b-5cb9fa5b45ec,Flat in Mumbai,1 bed,"₹3,594 per night",4.8 (10)
30,https://www.airbnb.co.in/rooms/811909267204252087?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579145_63tCRM0ustqHVWRR&previous_page_section_name=1000&federated_search_id=ccc7caec-052e-4fa7-8d7b-5cb9fa5b45ec,Place to stay in Mumbai,1 bed,"₹1,902 per night",4.4 (10)
31,https://www.airbnb.co.in/rooms/11693212?category_tag=Tag%3A8678&enable_m3_private_room=true&check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579145_Vq1YrC2dP1xEyjYf&previous_page_section_name=1000&federated_search_id=ccc7caec-052e-4fa7-8d7b-5cb9fa5b45ec,Room in Mumbai,Stay with Sunaina,", ",4.79 (33)
32,https://www.airbnb.co.in/rooms/657853160607911194?category_tag=Tag%3A8678&enable_m3_private_room=true&check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579145_4eKyCne9zs1JlHD9&previous_page_section_name=1000&federated_search_id=ccc7caec-052e-4fa7-8d7b-5cb9fa5b45ec,Room in Mumbai,Stay with Dhruv,", ",4.82 (44)
33,https://www.airbnb.co.in/rooms/677139856372197158?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579145_g93XsHroZRL3DPbP&previous_page_section_name=1000&federated_search_id=ccc7caec-052e-4fa7-8d7b-5cb9fa5b45ec,Flat in Mumbai,1 bed,"₹6,051 per night, originally ₹7,020",4.81 (27)
34,https://www.airbnb.co.in/rooms/745600203553303548?category_tag=Tag%3A8678&enable_m3_private_room=true&check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579145_BLLZ8waUA8y7FleQ&previous_page_section_name=1000&federated_search_id=ccc7caec-052e-4fa7-8d7b-5cb9fa5b45ec,Room in Mumbai,Stay with Arjun,", ",4.81 (16)
35,https://www.airbnb.co.in/rooms/823523813790880113?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579145_tdDkJDl8sA3Lg2RW&previous_page_section_name=1000&federated_search_id=ccc7caec-052e-4fa7-8d7b-5cb9fa5b45ec,Place to stay in Mumbai,1 bed,"₹2,967 per night",5.0 (7)
36,https://www.airbnb.co.in/rooms/692671083528638934?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579147_28t90GUowKGHJl%2BH&previous_page_section_name=1000&federated_search_id=6ef2925f-4630-47dd-8602-cd2168bf6b02,Apartment in Versova,1 bed,"₹5,706 per night",4.64 (22)
37,https://www.airbnb.co.in/rooms/847812482396863428?category_tag=Tag%3A8678&enable_m3_private_room=true&check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579147_pajatIHFh5IoDVuI&previous_page_section_name=1000&federated_search_id=6ef2925f-4630-47dd-8602-cd2168bf6b02,Room in Bandra - Khar,Stay with Manisha,"₹2,281 per night",5.0 (4)
38,https://www.airbnb.co.in/rooms/583907374409782078?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579147_8uX3023CK%2FzqJDZO&previous_page_section_name=1000&federated_search_id=6ef2925f-4630-47dd-8602-cd2168bf6b02,Apartment in Bandra - Khar,2 beds,"₹6,056 per night",4.82 (34)
39,https://www.airbnb.co.in/rooms/710546979640812357?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579147_CfkD%2B%2BXWzJB4M6C%2B&previous_page_section_name=1000&federated_search_id=6ef2925f-4630-47dd-8602-cd2168bf6b02,Flat in Bandra - Khar,1 bed,"₹5,991 per night",4.6 (10)
