,Link,Name,Subtitle,Price,Sale Price
41,https://www.nike.com/in/t/jordan-stay-loyal-2-shoes-sDkgDk/DQ8401-101,Jordan Stay Loyal 2,Men's Shoes, 10 295, 8 747
42,https://www.nike.com/in/t/air-jordan-7-retro-se-shoes-xjGbvR/DZ4729-200,Air Jordan 7 Retro SE,Men's Shoes, 19 295, 13 507
43,https://www.nike.com/in/t/air-jordan-1-mid-se-shoes-BcB3MD/FD4330-101,Air Jordan 1 Mid SE,Men's Shoes, 11 895, 10 107
44,https://www.nike.com/in/t/metcon-8-training-shoes-p9rQzn/DO9328-101,Nike Metcon 8,Men's Training Shoes, 11 895, 10 107
45,https://www.nike.com/in/t/dunk-hi-retro-shoes-WVg5bq/DV0828-100,Nike Dunk Hi Retro,Men's Shoes, 10 295, 7 207
46,https://www.nike.com/in/t/sb-force-58-skate-shoes-MBcZqq/DV5476-001,Nike SB Force 58 Premium,Skate Shoes, 7 095, 6 027
47,https://www.nike.com/in/t/sb-zoom-blazer-mid-plus-skate-shoes-TSWztD/DV5468-300,Nike SB Zoom Blazer Mid Premium Plus,Skate Shoes, 9 195, 6 437
48,https://www.nike.com/in/t/wio-9-shield-weatherised-road-running-shoes-VVX2ZW/DM1106-001,Nike Winflo 9 Shield,Men's Weatherised Road Running Shoes, 9 695, 8 237
49,https://www.nike.com/in/t/jordan-delta-3-low-shoes-pTK7C9/DR5280-014,Jordan Delta 3 Low,Men's Shoes, 12 795, 10 877
50,https://www.nike.com/in/t/nikecourt-legacy-suede-shoes-QcMfd3/DH0956-700,NikeCourt Legacy Suede,Men's Shoes, 5 995, 5 097
51,https://www.nike.com/in/t/air-max-90-g-golf-shoe-qlD3wL/CU9978-012,Nike Air Max 90 G,Golf Shoe, 11 495, 8 047
52,https://www.nike.com/in/t/air-jordan-1-mid-se-older-shoes-KV633k/DV1314-017,Air Jordan 1 Mid SE,Older Kids' Shoes, 8 695, 7 387
53,https://www.nike.com/in/t/air-max-97-se-shoes-rjm3vj/DV2621-200,Nike Air Max 97 SE,Men's Shoes, 17 495, 12 247
54,https://www.nike.com/in/t/zion-2-pf-basketball-shoes-XCTSr4/DO9072-600,Zion 2 PF,Men's Basketball Shoes, 10 795, 9 177
55,https://www.nike.com/in/t/air-jordan-1-mid-se-shoes-1D10l1/DV1302-100,Air Jordan 1 Mid SE,Women's Shoes, 12 295, 10 447
56,https://www.nike.com/in/t/air-jordan-dub-zero-shoes-NW2bzv/311046-021,Air Jordan Dub Zero,Men's Shoes, 15 295, 12 997
57,https://www.nike.com/in/t/air-force-1-mid-07-shoes-ZzCgrn/DV0806-100,Nike Air Force 1 Mid '07,Men's Shoes, 10 795, 9 177
